City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bud,US,2022-04-27 22:25:07,39.447,-86.1758,291.75,45,25,3.57
59,Kangaatsiaq,GL,2022-04-27 22:25:07,68.3065,-53.4641,272.92,97,100,3.03
60,Lethem,GY,2022-04-27 22:25:08,3.3803,-59.7968,302.07,64,91,1.28
61,Zaruma,EC,2022-04-27 22:25:08,-3.6833,-79.6167,293.12,90,91,1.69
62,Pevek,RU,2022-04-27 22:25:09,69.7008,170.3133,274.47,74,100,7.92
63,Severo-Kurilsk,RU,2022-04-27 22:25:09,50.6789,156.125,275.25,84,28,9.22
64,Vila Velha,BR,2022-04-27 22:20:37,-20.3297,-40.2925,299.23,85,0,3.09
65,Chulym,RU,2022-04-27 22:25:10,55.0997,80.9572,281.35,57,71,3.31
66,Yanam,IN,2022-04-27 22:24:01,16.7333,82.2167,298.33,96,7,1.2
67,Mar Del Plata,AR,2022-04-27 22:20:35,-38.0023,-57.5575,288.64,56,0,3.6
68,Tevaitoa,PF,2022-04-27 22:25:11,-16.7833,-151.5,300.34,76,20,9.56
69,Salina,US,2022-04-27 22:20:13,38.8403,-97.6114,300.38,47,20,9.26
70,Sabinopolis,BR,2022-04-27 22:25:12,-18.6661,-43.0839,290.77,81,0,1.03
71,La Ronge,CA,2022-04-27 22:25:12,55.1001,-105.2842,280.29,45,100,6.17
72,Mabaruma,GY,2022-04-27 22:25:13,8.2,-59.7833,297.22,97,100,1.42
73,Jiwani,PK,2022-04-27 22:25:13,25.05,61.7417,302.1,70,54,6.95
74,Laguna,US,2022-04-27 22:25:14,38.421,-121.4238,297.83,34,0,4.12
75,Sao Filipe,CV,2022-04-27 22:22:14,14.8961,-24.4956,295.62,69,3,5.52
76,Pisco,PE,2022-04-27 22:25:15,-13.7,-76.2167,292.6,82,0,7.72
77,Vila,PT,2022-04-27 22:25:15,42.0304,-8.1588,280.64,92,7,0.17
78,Castro,BR,2022-04-27 22:25:15,-24.7911,-50.0119,291.9,81,10,2.02
79,Georgetown,MY,2022-04-27 22:23:01,5.4112,100.3354,302.01,94,20,0.51
80,Chimore,BO,2022-04-27 22:25:16,-16.9833,-65.1333,298.78,83,99,1.34
81,Atuona,PF,2022-04-27 22:21:57,-9.8,-139.0333,299.07,77,26,9.3
82,Yellowknife,CA,2022-04-27 22:23:07,62.456,-114.3525,284.44,37,40,6.17
83,Narsaq,GL,2022-04-27 22:25:18,60.9167,-46.05,281.27,86,100,1.13
84,Kokopo,PG,2022-04-27 22:25:18,-4.352,152.2633,300.41,74,37,0.32
85,Cherskiy,RU,2022-04-27 22:25:19,68.75,161.3,271.99,95,100,1.16
86,Ilulissat,GL,2022-04-27 22:21:52,69.2167,-51.1,279.16,52,75,5.66
87,Komsomolskiy,UZ,2022-04-27 22:25:20,40.4272,71.7189,287.55,77,1,1.76
88,Kropotkin,RU,2022-04-27 22:25:20,45.4375,40.5756,286.75,75,52,3.15
89,Hilo,US,2022-04-27 22:22:13,19.7297,-155.09,303.31,86,100,1.54
90,Mahebourg,MU,2022-04-27 22:25:21,-20.4081,57.7,295.51,94,20,3.09
91,Little Current,CA,2022-04-27 22:26:21,45.9793,-81.9248,278.94,48,71,4.67
92,Copiapo,CL,2022-04-27 22:25:00,-27.3667,-70.3333,286.98,43,0,1.48
93,Cape Town,ZA,2022-04-27 22:24:03,-33.9258,18.4232,288.66,87,0,6.26
94,Bambous Virieux,MU,2022-04-27 22:21:34,-20.3428,57.7575,295.49,94,20,3.09
95,Esperance,AU,2022-04-27 22:26:23,-33.8667,121.9,285.06,78,96,7.61
96,Isangel,VU,2022-04-27 22:23:13,-19.55,169.2667,299.24,72,100,6.96
97,Santa Isabel Do Rio Negro,BR,2022-04-27 22:26:23,-0.4139,-65.0192,300.57,76,97,0.84
98,Sitka,US,2022-04-27 22:26:24,57.0531,-135.33,281.09,66,75,3.6
99,Port Hardy,CA,2022-04-27 22:26:24,50.6996,-127.4199,283.25,62,75,2.06
100,Berlevag,NO,2022-04-27 22:24:02,70.8578,29.0864,268.15,74,100,8.27
101,Kaitangata,NZ,2022-04-27 22:26:25,-46.2817,169.8464,283.17,79,17,2.69
102,Nabire,ID,2022-04-27 22:26:25,-3.3667,135.4833,297.75,90,91,1.3
103,El Obraje,HN,2022-04-27 22:26:26,14.0,-86.4333,300.9,62,96,2.33
104,San Cristobal,VE,2022-04-27 22:26:26,7.7669,-72.225,297.25,85,100,1.78
105,Ushtobe,KZ,2022-04-27 22:26:27,45.2514,77.9838,283.54,33,0,1.51
106,Viedma,AR,2022-04-27 22:26:27,-40.8135,-62.9967,287.3,33,99,13.06
107,Broome,US,2022-04-27 22:26:28,42.2506,-75.833,276.87,68,100,6.17
108,Abu Dhabi,AE,2022-04-27 22:25:00,24.4667,54.3667,302.21,61,40,1.54
109,Fortuna,US,2022-04-27 22:25:25,40.5982,-124.1573,287.55,67,75,7.72
110,Hithadhoo,MV,2022-04-27 22:26:29,-0.6,73.0833,301.85,74,100,2.92
111,Mount Gambier,AU,2022-04-27 22:22:30,-37.8333,140.7667,289.1,94,100,3.09
112,Cabedelo,BR,2022-04-27 22:26:30,-6.9811,-34.8339,299.52,80,100,4.98
113,Uddevalla,SE,2022-04-27 22:26:30,58.3478,11.9424,279.3,78,33,0.58
114,Fomboni,KM,2022-04-27 22:26:31,-12.28,43.7425,300.81,78,61,7.43
115,Zaozerne,UA,2022-04-27 22:26:31,45.1582,33.2787,285.69,72,0,4.18
116,Rundu,NA,2022-04-27 22:26:31,-17.9333,19.7667,293.7,51,80,1.95
